No.,Player,Position,Team
18.0,Gryka Aleksandra,MB,POL
19.0,Wasilewska Iga,MB,POL
21.0,Grabka Alicja,S,POL
22.0,Szlagowska Weronika,OH,POL
23.0,Druzkowska Karolina,OH,POL
24.0,Damaske Paulina,OH,POL
25.0,Sobiczewska Weronika,O,POL
26.0,Wenerska Katarzyna,S,POL
30.0,Rozanski Olivia,OH,POL
95.0,Jurczyk Magdalena,MB,POL
,Stefano LAVARINI,COACH,POL
1.0,Busa Bianka,OH,SRB
2.0,Lazovic Katarina,OH,SRB
3.0,Caric Sara,O,SRB
4.0,Drca Bojana,S,SRB
5.0,Popovic Mina,MB,SRB
7.0,Jaksic Ana,S,SRB
8.0,Mirkovic Sladjana,S,SRB
9.0,Mihajlovic Brankica,OH,SRB
12.0,Pusic Teodora,L,SRB
13.0,Bjelica Ana,O,SRB
14.0,Aleksic Maja,MB,SRB
15.0,Stevanovic Jovana,MB,SRB
17.0,Milojevic Tijana,L,SRB
19.0,Milenkovic Bojana,OH,SRB
20.0,Zelenovic Jovana,O,SRB
21.0,Kocic Jovana,MB,SRB
22.0,Lozo Sara,O,SRB
23.0,Djordjevic Mila,S,SRB
25.0,Markovic Bozica,MB,SRB
26.0,Savic Vanja,O,SRB
28.0,Delic Jelena,MB,SRB
31.0,Djurdjevic Sanja,L,SRB
33.0,Cvetkovic Jovana,OH,SRB
34.0,Mirosavljevic Jovana,OH,SRB
35.0,Mijatovic Mina,OH,SRB
,Daniele Santarelli,COACH,SRB
1.0,Srithong Wipawee,OH,THA
2.0,Pannoy Piyanut,L,THA
3.0,Guedpard Pornpun,S,THA
4.0,Nuekjang Thatdao,MB,THA
6.0,Thipachot Kannika,OH,THA
7.0,Jarat Hathairat,MB,THA
8.0,Nuanjam Watchareeya,MB,THA
9.0,Bundasak Jarasporn,MB,THA
10.0,Juangjan Pattiya,OH,THA
11.0,Pinsuwan Darin,OH,THA
12.0,Bamrungsuk Hattaya,MB,THA
13.0,Jaisaen Natthanicha,S,THA
14.0,Chuewulim Sutadta,OH,THA
15.0,Kamulthala Kaewkalaya,MB,THA
16.0,Kokram Pimpichaya,O,THA
17.0,Boonlert Tichaya,S,THA
18.0,Kongyot Ajcharaporn,OH,THA
19.0,Moksri Chatchu-On,OH,THA
20.0,Pairoj Supattra,L,THA
21.0,Sooksod Thanacha,O,THA
22.0,Sanitklang Nattaporn,L,THA
23.0,ManaKij Sirima,S,THA
24.0,Boonlert Tichakorn,MB,THA
25.0,Janthawisut Sasipapron,OH,THA
36.0,Sinpho Donphon,OH,THA
,Danai Sriwacharamaytakul,COACH,THA
1.0,Arici Beyza,MB,TUR
2.0,Akoz Simge Sebnem,L,TUR
3.0,Özbay Cansu,S,TUR
4.0,Ivegin Tugba,OH,TUR
5.0,Akbay Bahar,MB,TUR
6.0,Sahin Saliha,O,TUR
7.0,Baladin Hande,OH,TUR
8.0,Unal Buse,S,TUR
9.0,Diken Meliha,O,TUR
10.0,Aykac Ayca,L,TUR
11.0,Cebecioglu Derya,OH,TUR
12.0,Şahin Elif,S,TUR
13.0,Boz Meryem,O,TUR
14.0,Erdem Dündar Eda,MB,TUR
17.0,Caliskan Sila,S,TUR
18.0,Gunes Zehra,MB,TUR
19.0,Kapucu Ceren,O,TUR
20.0,Acar Aylin,L,TUR
21.0,Kayacan Sonsirma Buse,L,TUR
22.0,Aydin İlkin,OH,TUR
23.0,Erkek Yaprak,OH,TUR
28.0,Yildirim Yasemin,MB,TUR
44.0,Akyol Ayçin,MB,TUR
77.0,Yuzgenc Tutku Burcu,O,TUR
99.0,Karakurt Ebrar,O,TUR
,Giovanni Guidetti,COACH,TUR
1.0,Hancock Micha,S,USA
2.0,Poulter Jordyn,S,USA
3.0,Plummer Kathryn,OH,USA
4.0,Wong-Orantes Justine,L,USA
5.0,Hentz Morgan,L,USA
6.0,Dixon Tetori,MB,USA
7.0,Carlini Lauren,S,USA
8.0,Tapp Hannah,MB,USA
9.0,Rishel Madison Kingdon,OH,USA
10.0,Butler Brionne,MB,USA
11.0,Drews Andrea,O,USA
12.0,Thompson Jordan,O,USA
13.0,Wilhite Sarah,OH,USA
15.0,Washington Haleigh,MB,USA
16.0,Rettke Dana,MB,USA
17.0,Drews Danielle,OH,USA
18.0,Bajema Kara,OH,USA
19.0,Gray Jenna,S,USA
20.0,Cuttino Danielle,O,USA
22.0,White Kendall,L,USA
23.0,Robinson Kelsey,OH,USA
24.0,Ogbogu Chiaka,MB,USA
30.0,Frantti Alexandra,OH,USA
31.0,Stevenson Anna,MB,USA
33.0,Reed Nia,O,USA
,Karch Kiraly,COACH,USA
